City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Kruisfontein,ZA,2022-10-13 21:01:34,-34.0033,24.7314,66.88,93,100,9.82,light rain
228,Mto Wa Mbu,TZ,2022-10-13 21:01:35,-3.35,35.85,70.05,40,78,5.1,broken clouds
229,Liku,ID,2022-10-13 21:01:36,-0.7275,119.8922,73.85,89,95,2.33,overcast clouds
230,Matara,LK,2022-10-13 21:01:37,5.9485,80.5353,76.15,91,100,9.66,overcast clouds
231,Saint-Joseph,RE,2022-10-13 21:01:37,-21.3667,55.6167,68.38,80,9,10.74,light rain
232,Vao,NC,2022-10-13 21:01:38,-22.6667,167.4833,70.36,66,100,13.49,overcast clouds
233,Bakchar,RU,2022-10-13 21:01:38,57.0186,82.0711,31.89,93,15,3.71,few clouds
234,Kautokeino,NO,2022-10-13 21:01:39,69.0125,23.0412,34.88,86,65,3.15,broken clouds
235,Whitehorse,CA,2022-10-13 21:01:39,60.7161,-135.0538,51.31,81,100,23.02,light intensity shower rain
236,Alofi,NU,2022-10-13 21:01:40,-19.0595,-169.9187,77.86,84,27,14.07,scattered clouds
237,Saldanha,ZA,2022-10-13 21:01:41,-33.0117,17.9442,59.32,89,79,13.27,broken clouds
238,Tazovskiy,RU,2022-10-13 21:01:41,67.4667,78.7,36.75,85,100,14.63,overcast clouds
239,Maksatikha,RU,2022-10-13 21:01:42,57.797,35.8825,35.13,87,18,3.0,few clouds
240,Cairo,EG,2022-10-13 21:01:43,30.0626,31.2497,73.42,64,0,5.75,clear sky
241,Souillac,MU,2022-10-13 21:01:10,-20.5167,57.5167,70.39,75,41,16.42,scattered clouds
242,Frolishchi,RU,2022-10-13 21:01:44,56.4211,42.6533,36.3,84,10,5.66,clear sky
243,Korem,ET,2022-10-13 21:01:45,12.5058,39.5228,56.19,79,80,1.7,broken clouds
244,Camp Verde,US,2022-10-13 21:01:46,34.5636,-111.8543,89.04,13,0,5.1,clear sky
245,Angoram,PG,2022-10-13 21:01:46,-4.0625,144.0661,73.99,96,100,1.07,overcast clouds
246,Sao Joao Da Barra,BR,2022-10-13 21:01:47,-21.6403,-41.0511,73.99,82,6,17.11,clear sky
247,Galveston,US,2022-10-13 21:01:48,29.3669,-94.9669,92.08,64,0,8.05,clear sky
248,Temerloh,MY,2022-10-13 21:01:48,3.4483,102.4176,73.18,97,100,1.81,overcast clouds
249,Pangkalanbuun,ID,2022-10-13 21:01:49,-2.6833,111.6167,73.42,97,96,1.54,overcast clouds
250,Coquimbo,CL,2022-10-13 21:01:49,-29.9533,-71.3436,61.68,64,2,9.53,clear sky
251,Maxixe,MZ,2022-10-13 21:01:50,-23.8597,35.3472,69.91,87,27,7.02,scattered clouds
252,Omsukchan,RU,2022-10-13 21:01:50,62.5333,155.8,9.59,96,100,2.44,overcast clouds
253,Isangel,VU,2022-10-13 21:01:51,-19.55,169.2667,74.7,65,1,13.62,clear sky
254,Beipiao,CN,2022-10-13 21:01:51,41.7919,120.7792,52.81,70,100,2.68,light rain
255,Ambulu,ID,2022-10-13 21:01:51,-8.345,113.6058,75.0,89,100,2.73,overcast clouds
256,Hanstholm,DK,2022-10-13 21:01:52,57.1167,8.6167,50.0,69,5,10.45,clear sky
257,Korla,CN,2022-10-13 21:00:30,41.7597,86.1469,49.55,38,4,1.9,clear sky
